X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
6473427.70427085,1729307.37040244,375,211,,Education,Early Childhood Education and Head Start,,,Toberman Neighborhood Center,131 N. Grand Ave.,,San Pedro,CA,"Monday through Friday, 9:00am to 5:00pm. ","FAX (310) 832-6712,  Service/Intake and Administration (310) 832-1145",www.toberman.org/,,,777,"The agency provides advocacy, counseling services, emergency food, holiday assistance, personal goods, recreational programs, substance abuse services, utility bill assistance, volunteer opportunities and youth services.",90731,http://egis3.lacounty.gov/lms/?p=777,publish,33.743902,-118.290245,2017/10/30 11:52:37+00,,,6473427.70427081,1729307.3704024
6481605.20333578,1844575.57096794,463,211,,Education,Early Childhood Education and Head Start,,Para Los Ninos  Family Center,Para Los Ninos Family Center,234 S. Loma Dr.,,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm. ",Service/Intake (213) 413-1466,www.paralosninos.org,,,805,"The agency provides child care, child abuse services, counseling services, family life education, school readiness for children, ages 0 to 5, and youth services to families who live in the Los Angeles area, including downtown Los Angeles, East Los Angeles, Pico Union, South Central Los Angeles.",90026,http://egis3.lacounty.gov/lms/?p=805,publish,34.0607,-118.264345,2015/03/11 12:38:19+00,,,6481605.20333572,1844575.5709679
6465446.01911877,1807901.15547177,506,211,,Education,Early Childhood Education and Head Start,,,El Nido Family Centers - South Los Angeles,2152 W. Manchester Ave.,,Los Angeles,CA,"Monday through Friday, 8:30am to 5:30pm. ","FAX (323) 753-1222,  Service/Intake (323) 971-7360",www.elnidofamilycenters.org/,,,830,The agency provides counseling services and family life education for youth and their families in Los Angeles.,90047,http://egis3.lacounty.gov/lms/?p=830,publish,33.959796,-118.317314,2015/03/11 11:21:58+00,,,6465446.01911873,1807901.15547173
6486232.72852953,1801889.93750735,999,211,,Education,Early Childhood Education and Head Start,,,Kaiser Permanente - Watts Counseling And Learning Center,1465 E. 103rd St.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:00am to 7:00pm; and Saturday, 9:00am to 5:00pm. ",Service/Intake (323) 564-7911,www.kaiserpermanente.org/locations/calif,,,1095,"The center provides counseling services, early childhood education and youth services for Watts residents of all ages, including people who are not Kaiser Health Plan members.",90002,http://egis3.lacounty.gov/lms/?p=1095,publish,33.943439,-118.248718,2015/03/11 11:42:08+00,,,6486232.72852947,1801889.93750732
6488454.89764161,1802744.9978051,1139,211,,Education,Early Childhood Education and Head Start,,City of Los Angeles,Bradley/Milken Family Source Center,1773 E. Century Blvd.,,Los Angeles,CA,"Monday through Friday, 9:00am to 9:00pm; Saturday by request.","TDD (213) 473-3788,  Service/Intake (213) 473-3607,  FAX (213) 473-3716",cdd.lacity.org/fam_index.html,,,1173,"The City of Los Angeles Community Development Department, FamilySource Centers, provide a wealth of services and programs for families with children. These community centers help families that need support with childcare, family needs, and other assistance to move them toward self-sufficiency, build flourishing communities and economic growth.   Services include employment services, family life education, family support services, utility bill assistance and youth services. Services are restricted to residents of the City of Los Angeles.   The system is comprised of a network of 21 community centers that deliver coordinated, outcome-driven services to city residents in areas of highest need. Each center offers a list of core services through partnerships with a diverse group of agencies.  The Centers are designed to welcome all eligible city residents and efficiently assess their needs by creating a ""no wrong door"" environment.",90002,http://egis3.lacounty.gov/lms/?p=1173,publish,33.94580345,-118.2413983,2015/03/11 11:47:20+00,,,6488454.89764155,1802744.99780506
6528970.13911752,1844304.07544793,1754,211,,Education,Early Childhood Education and Head Start,,NULL,Garvey School District - Head Start / State Preschool,7424 Newmark Ave.,,Rosemead,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (626) 573-3424,  Service/Intake and Administration (626) 307-3396",,,,1918,"The agency provides early childhood education services and Head Start/State Preschool programs for people in zip codes 91770, 91776 and 91755.",91770,http://egis3.lacounty.gov/lms/?p=1918,publish,34.060195,-118.107963,2015/03/11 12:22:29+00,,,6528970.13911746,1844304.07544789
6502713.86223386,1751016.55139343,1886,211,,Education,Early Childhood Education and Head Start,,www.ccdlb.org,Comprehensive Child Development - Pacific Avenue Child Development Center,2565 Pacific Ave.,,Long Beach,CA,"Monday through Friday, 6:45am to 6:00pm. ",Service/Intake (562) 427-8834,www.ccdlb.org,,,2043,The center provides child care and a State Preschool for income-eligible families.,90806,http://egis3.lacounty.gov/lms/?p=2043,publish,33.803748,-118.194056,2015/03/11 12:30:45+00,,,6502713.8622338,1751016.55139339
6472843.1378547,1831708.33095443,1887,211,,Education,Early Childhood Education and Head Start,,www.usc.edu/ext-relations,Usc School For Early Childhood Education - Head Start/State Preschool University Gardens Head Start Center,1250 W. Jefferson Blvd.,,Los Angeles,CA,"Monday through Friday, 7:00am to 3:00pm. ",Service/Intake (323) 733-1650,www.usc.edu/ext-relations,,,2044,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",90007,http://egis3.lacounty.gov/lms/?p=2044,publish,34.025276,-118.29315,2015/03/11 12:26:32+00,,,6472843.13785464,1831708.33095439
6461924.36376053,1722395.27923977,1888,211,,Education,Early Childhood Education and Head Start,,www.usc.edu/ext-relations,Usc School For Early Childhood Education - Head Start/State Preschool John W. Mack Elementary School,3020 Catalina Ave.,,Los Angeles,CA,"Monday through Friday, 7:00am to 3:00pm. ",Service/Intake (213) 730-7620,www.usc.edu/ext-relations,,,2045,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",90007,http://egis3.lacounty.gov/lms/?p=2045,publish,33.724812,-118.328007,2015/03/11 12:27:32+00,,,6461924.36376047,1722395.27923973
6502931.14329536,1746305.81081493,1889,211,,Education,Early Childhood Education and Head Start,,www.yhcc-lb.com,Young Horizons - Central Pacific State Preschool,1840 Pacific Ave.,,Long Beach,CA,"Monday through Friday, 7:45am to 11:15am and 12:00 noon to 3:30pm. ","Service/Intake (562) 599-3136,  FAX (562) 599-7736",www.yhcc-lb.com,,,2048,The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.,90806,http://egis3.lacounty.gov/lms/?p=2048,publish,33.790805,-118.193311,2015/03/11 12:31:44+00,,,6502931.1432953,1746305.81081489
6476973.14271803,1828535.54464911,1893,211,,Education,Early Childhood Education and Head Start,,www.usc.edu/ext-relations,Usc School For Early Childhood Education - Head Start/State Preschool,3716 S. Hope St.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:00pm. ",Service/Intake and Administration (213) 821-2794,www.usc.edu/ext-relations,,,2051,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",90007,http://egis3.lacounty.gov/lms/?p=2051,publish,34.01659,-118.279491,2015/03/11 11:23:21+00,,,6476973.14271797,1828535.54464906
6485388.84045352,1813245.69760418,1895,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - Florence - Firestone,7217 S. Mace Pl.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:30pm. ","Service/Intake (323) 583-1588,  FAX (323) 583-1175",www.childrenscollective.org,,,2055,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90001,http://egis3.lacounty.gov/lms/?p=2055,publish,33.974637,-118.251594,2015/03/11 12:35:27+00,,,6485388.84045348,1813245.69760415
6480456.7446747,1826652.22590919,1897,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - King - San Pedro,3817 S. San Pedro St.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:30pm. ","FAX (323) 231-6242,  Service/Intake (323) 231-1367",www.childrenscollective.org,,,2056,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90011,http://egis3.lacounty.gov/lms/?p=2056,publish,34.011441,-118.267979,2015/03/11 11:17:43+00,,,6480456.74467464,1826652.22590914
6493802.41155286,1747862.69287176,1899,211,,Education,Early Childhood Education and Head Start,,www.ccdlb.org,Comprehensive Child Development - Cabrillo Child Development Center,2205 San Gabriel Ave.,,Long Beach,CA,"Monday through Friday, 7:00am to 5:30pm. ",Service/Intake (562) 388-8160,www.ccdlb.org,,,2057,The center provides child care and a State Preschool for income-eligible families.,90810,http://egis3.lacounty.gov/lms/?p=2057,publish,33.795031,-118.223365,2015/03/11 11:25:26+00,,,6493802.4115528,1747862.69287173
6450463.41588195,1818623.46506386,1902,211,,Education,Early Childhood Education and Head Start,,www.crystalstairs.org/,Crystal Stairs,5110 W. Goldleaf Circle,,Los Angeles,CA,"Monday through Friday, 9:00am to 5:00pm. ","Children's Health and Wellness Department Service/Intake (323) 299-9295, Child Care Referrals (888-KIDS-247) Service/Intake (888) 543-7247, Child Care Referrals Service/Intake (323) 421-1029,  Administrative (323) 299-8998, Child Care Referrals for all ar",www.crystalstairs.org/,,,2058,"This agency provides child care information and referral, early childhood education, health insurance and technical assistance.",90056,http://egis3.lacounty.gov/lms/?p=2058,publish,33.989119,-118.36685,2015/03/11 11:43:24+00,,,6450463.41588189,1818623.46506381
6462429.14424703,1834467.71257477,1904,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - St. Paul's Child Care Center,3911 W. Adams Blvd.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:30pm. ",Service/Intake (323) 733-9677,www.childrenscollective.org,,,2059,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90018,http://egis3.lacounty.gov/lms/?p=2059,publish,34.03277,-118.327548,2015/03/11 11:48:30+00,,,6462429.14424697,1834467.71257472
6478777.01411028,1740142.25719719,1906,211,,Education,Early Childhood Education and Head Start,,www.ccdlb.org,Comprehensive Child Development - New Harbor Vista Child Development Center,909 W. D St.,,Wilmington,CA,"Monday through Friday, 7:00am to 5:30pm. ",Service/Intake (310) 834-5404,www.ccdlb.org,,,2061,The center provides child care and a State Preschool for income-eligible families.,90744,http://egis3.lacounty.gov/lms/?p=2061,publish,33.773715,-118.272747,2015/03/11 12:23:43+00,,,6478777.01411022,1740142.25719714
6472526.02300335,1728393.6071381,1908,211,,Education,Early Childhood Education and Head Start,,www.ccdlb.org,Comprehensive Child Development - Third Street Child Development Center,739 W. 3rd St.,,San Pedro,CA,"Monday through Friday, 7:00am to 5:45pm. ",Administrative (310) 514-4999,www.ccdlb.org,,,2062,The center provides child care and a State Preschool for income-eligible families.,90731,http://egis3.lacounty.gov/lms/?p=2062,publish,33.741384,-118.293202,2015/03/11 16:50:14+00,,,6472526.02300331,1728393.60713807
6476823.0098162,1832949.96528219,1911,211,,Education,Early Childhood Education and Head Start,,www.usc.edu/ext-relations,Usc School For Early Childhood Education - Head Start/State Preschool University Park Head Start Center,741 W. 27th St.,,Los Angeles,CA,"Monday through Friday, 7:00am to 9:30pm. ","Service/Intake (213) 743-2466,  FAX (213) 743-1684",www.usc.edu/ext-relations,,,2067,"The agency provides early childhood education services for families in Los Angeles zip codes 90006, 90007, 90015, 90018, 90037, and parts of 90008, 90011 and 90062.",90007,http://egis3.lacounty.gov/lms/?p=2067,publish,34.028719,-118.280027,2015/03/11 12:33:20+00,,,6476823.00981614,1832949.96528214
6479195.88564786,1791977.04591586,1920,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - Willowbrook,12829 S. Jarvis St.,,Los Angeles,CA,"Monday through Friday, 7:30am to 5:30pm. ","FAX (310) 352-4666, Bertha Smith - Site supervisor Service/Intake (310) 352-4486",www.childrenscollective.org,,,2076,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90061,http://egis3.lacounty.gov/lms/?p=2076,publish,33.91615,-118.27183,2015/03/11 12:28:19+00,,,6479195.8856478,1791977.04591581
6447539.20355453,1832350.16759726,1924,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,"Children's Collective Inc , The",5870 W. Jefferson Blvd.,,Los Angeles,CA,"Monday through Friday, 7:30am to 5:30pm. ","Service/Intake and Administration (310) 733-4388,  FAX (310) 733-4320",www.childrenscollective.org,,,2079,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90016,http://egis3.lacounty.gov/lms/?p=2079,publish,34.026808,-118.376666,2015/03/11 11:16:34+00,,,6447539.20355447,1832350.16759723
6473655.35539035,1808358.17982018,1925,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - Rita Walters Child Care Center,932 W. 85th St.,,Los Angeles,CA,"Monday through Friday, 7:30am to 6:00pm. ","Service/Intake (323) 789-1873,  FAX (323) 789-4864",www.childrenscollective.org,,,2080,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90044,http://egis3.lacounty.gov/lms/?p=2080,publish,33.96112,-118.290247,2015/03/11 11:24:41+00,,,6473655.35539031,1808358.17982015
6474593.20095561,1818939.44704343,1932,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - Hoover Street Childcare Center,5701 S. Hoover St.,,Los Angeles,CA,"Monday through Friday, 8:00am to 12:00 noon. ","Service/Intake (213) 924-5853,  FAX (213) 471-2326",www.childrenscollective.org,,,2088,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90037,http://egis3.lacounty.gov/lms/?p=2088,publish,33.990203,-118.287254,2015/03/11 12:36:46+00,,,6474593.20095555,1818939.44704339
6462352.38619845,1801324.78673477,1940,211,,Education,Early Childhood Education and Head Start,,iusd.net,Inglewood Unified School District - Head Start/State Preschool,10409 10th Ave.,,Inglewood,CA,"Monday through Friday, 8:00am to 4:00pm. ","Service/Intake (310) 419-2605,  FAX (310) 419-2808, Director Administrative (310) 419-2691",iusd.net,,,2104,"The district provides adult education, early childhood education, and K-12 school district services for residents of Inglewood and Ladera Heights.",90302,http://egis3.lacounty.gov/lms/?p=2104,publish,33.941698,-118.327445,2015/03/11 11:49:30+00,,,6462352.38619839,1801324.78673473
6514917.05370669,1878855.06113586,1984,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Orange Grove,595 N. Lincoln Ave.,,Pasadena,CA,"SITE HOURS: Monday through Friday, 8:30am to 4:30pm. ",Service/Intake (626) 744-7728,NULL,,,2133,The agency provides early education Head Start services in the San Gabriel Valley area.,91103,http://egis3.lacounty.gov/lms/?p=2133,publish,34.155086,-118.154536,2015/03/11 12:42:47+00,,,6514917.05370663,1878855.06113581
6511792.96021736,1837254.94912627,1999,211,,Education,Early Childhood Education and Head Start,,www.almafs.com,Alma Family Services - Centro Estrella,4701 E. Cesar E. Chavez Ave.,,East Los Angeles,CA,"SITE HOURS: Monday through Friday, 7:30am to 6:00pm ","M,W,F Service/Intake (323) 588-5400,  FAX (323) 260-5202,  Service/Intake (323) 881-3799",www.almafs.com,,,2147,The agency provides services for people with developmental disabilities who live in Los Angeles County.,90022,http://egis3.lacounty.gov/lms/?p=2147,publish,34.040761,-118.164637,2015/03/11 11:45:12+00,,,6511792.9602173,1837254.94912623
