"DATE","TAVG"
"2020-01-01",56
"2020-01-02",56
"2020-01-03",56
"2020-01-04",56
"2020-01-05",55
"2020-01-06",58
"2020-01-07",62
"2020-01-08",56
"2020-01-09",54
"2020-01-10",52
"2020-01-11",52
"2020-01-12",53
"2020-01-13",53
"2020-01-14",52
"2020-01-15",52
"2020-01-16",53
"2020-01-17",54
"2020-01-18",55
"2020-01-19",58
"2020-01-20",58
"2020-01-21",57
"2020-01-22",54
"2020-01-23",57
"2020-01-24",57
"2020-01-25",55
"2020-01-26",56
"2020-01-27",55
"2020-01-28",60
"2020-01-29",57
"2020-01-30",59
"2020-01-31",60
"2020-02-01",63
"2020-02-02",59
"2020-02-03",56
"2020-02-04",53
"2020-02-05",50
"2020-02-06",52
"2020-02-07",54
"2020-02-08",55
"2020-02-09",55
"2020-02-10",56
"2020-02-11",59
"2020-02-12",56
"2020-02-13",55
"2020-02-14",55
"2020-02-15",54
"2020-02-16",57
"2020-02-17",57
"2020-02-18",58
"2020-02-19",60
"2020-02-20",60
"2020-02-21",62
"2020-02-22",59
"2020-02-23",59
"2020-02-24",58
"2020-02-25",61
"2020-02-26",66
"2020-02-27",67
"2020-02-28",70
"2020-02-29",62
"2020-03-01",58
"2020-03-02",55
"2020-03-03",63
"2020-03-04",60
"2020-03-05",61
"2020-03-06",60
"2020-03-07",59
"2020-03-08",58
"2020-03-09",58
"2020-03-10",61
"2020-03-11",63
"2020-03-12",59
"2020-03-13",56
"2020-03-14",58
"2020-03-15",58
"2020-03-16",58
"2020-03-17",53
"2020-03-18",52
"2020-03-19",57
"2020-03-20",55
"2020-03-21",59
"2020-03-22",58
"2020-03-23",58
"2020-03-24",56
"2020-03-25",58
"2020-03-26",55
"2020-03-27",55
"2020-03-28",56
"2020-03-29",57
"2020-03-30",59
"2020-03-31",61
"2020-04-01",62
"2020-04-02",61
"2020-04-03",61
"2020-04-04",60
"2020-04-05",60
"2020-04-06",58
"2020-04-07",57
"2020-04-08",53
"2020-04-09",53
"2020-04-10",54
"2020-04-11",56
"2020-04-12",59
"2020-04-13",59
"2020-04-14",60
"2020-04-15",65
"2020-04-16",63
"2020-04-17",60
"2020-04-18",61
"2020-04-19",60
"2020-04-20",61
"2020-04-21",61
"2020-04-22",65
"2020-04-23",69
"2020-04-24",73
"2020-04-25",72
"2020-04-26",67
"2020-04-27",65
"2020-04-28",65
"2020-04-29",65
"2020-04-30",65
"2020-05-01",66
"2020-05-02",67
"2020-05-03",67
"2020-05-04",67
"2020-05-05",72
"2020-05-06",74
"2020-05-07",74
"2020-05-08",68
"2020-05-09",66
"2020-05-10",66
"2020-05-11",66
"2020-05-12",63
"2020-05-13",64
"2020-05-14",65
"2020-05-15",66
"2020-05-16",69
"2020-05-17",68
"2020-05-18",66
"2020-05-19",64
"2020-05-20",64
"2020-05-21",67
"2020-05-22",67
"2020-05-23",65
"2020-05-24",66
"2020-05-25",67
"2020-05-26",69
"2020-05-27",65
"2020-05-28",65
"2020-05-29",65
"2020-05-30",67
"2020-05-31",67
"2020-06-01",69
"2020-06-02",69
"2020-06-03",72
"2020-06-04",67
"2020-06-05",66
"2020-06-06",67
"2020-06-07",67
"2020-06-08",71
"2020-06-09",79
"2020-06-10",78
"2020-06-11",75
"2020-06-12",67
"2020-06-13",67
"2020-06-14",67
"2020-06-15",68
"2020-06-16",66
"2020-06-17",67
"2020-06-18",64
"2020-06-19",67
"2020-06-20",67
"2020-06-21",68
"2020-06-22",68
"2020-06-23",67
"2020-06-24",68
"2020-06-25",67
"2020-06-26",68
"2020-06-27",68
"2020-06-28",67
"2020-06-29",67
"2020-06-30",68
"2020-07-01",67
"2020-07-02",68
"2020-07-03",70
"2020-07-04",72
"2020-07-05",74
"2020-07-06",74
"2020-07-07",72
"2020-07-08",71
"2020-07-09",71
"2020-07-10",72
"2020-07-11",76
"2020-07-12",77
"2020-07-13",74
"2020-07-14",71
"2020-07-15",70
"2020-07-16",69
