"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","Crm.Cd.1","LOCATION","LAT","LON","year","Descent_Description","month","Hour"
200604124,"01/03/2020 12:00:00 AM",2020-01-03,"04:00",6,"Hollywood",648,1,310,"BURGLARY",0,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",310,"5400 W  SUNSET                       BL",34.1,-118.3113,2020,"Unknown","2020-01","04"
200218223,"12/05/2020 12:00:00 AM",2020-12-05,"01:00",2,"Rampart",235,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"2200 W  TEMPLE                       ST",34.0707,-118.2693,2020,"Unknown","2020-12","01"
210105387,"02/02/2021 12:00:00 AM",2020-10-02,"15:50",1,"Central",152,2,649,"DOCUMENT FORGERY / STOLEN FELONY",0,"X","X",602,"BANK","IC","Invest Cont",649,"800    WILSHIRE                     BL",34.0493,-118.2582,2020,"Unknown","2020-10","15"
201314683,"07/29/2020 12:00:00 AM",2020-07-29,"10:35",13,"Newton",1383,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,"M","W",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"6200 S  BROADWAY",33.983,-118.2783,2020,"White","2020-07","10"
201610483,"06/28/2020 12:00:00 AM",2020-06-25,"14:55",16,"Foothill",1695,2,354,"THEFT OF IDENTITY",26,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"7700    FAIR                         AV",34.2103,-118.3747,2020,"Hispanic/Latin/Mexican","2020-06","14"
200907309,"03/12/2020 12:00:00 AM",2020-03-10,"12:20",9,"Van Nuys",994,1,310,"BURGLARY",48,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",310,"3600    BEVERLY RIDGE                DR",34.136,-118.4479,2020,"White","2020-03","12"
200905047,"01/25/2020 12:00:00 AM",2020-01-23,"12:30",9,"Van Nuys",915,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",57,"M","W",157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)","IC","Invest Cont",745,"6900    VAN NUYS                     BL",34.1961,-118.4487,2020,"White","2020-01","12"
200111368,"05/05/2020 12:00:00 AM",2020-05-03,"20:07",1,"Central",159,2,940,"EXTORTION",37,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",940,"800 E  4TH                          ST",34.0433,-118.2377,2020,"Hispanic/Latin/Mexican","2020-05","20"
201508876,"04/16/2020 12:00:00 AM",2020-04-16,"04:17",15,"N Hollywood",1549,1,310,"BURGLARY",0,"M","W",222,"LAUNDROMAT","IC","Invest Cont",310,"5200    CAHUENGA                     BL",34.1649,-118.3615,2020,"White","2020-04","04"
201111487,"07/16/2020 12:00:00 AM",2020-07-13,"12:35",11,"Northeast",1115,2,662,"BUNCO, GRAND THEFT",60,"F","F",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",662,"5000    HIGHLAND VIEW                AV",34.1376,-118.2085,2020,"Filipino","2020-07","12"
201207841,"02/25/2020 12:00:00 AM",2020-02-25,"12:00",12,"77th Street",1243,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,"F","B",101,"STREET","IC","Invest Cont",230,"6300 S  WESTERN                      AV",33.982,-118.3089,2020,"Black","2020-02","12"
200615199,"09/08/2020 12:00:00 AM",2020-09-08,"04:15",6,"Hollywood",666,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",0,"X","X",203,"OTHER BUSINESS","IC","Invest Cont",745,"6200    AFTON                        PL",34.0953,-118.3241,2020,"Unknown","2020-09","04"
201221394,"09/25/2020 12:00:00 AM",2020-09-25,"12:00",12,"77th Street",1257,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",56,"M","H",101,"STREET","AO","Adult Other",626,"73RD                         ST",33.9693,-118.285,2020,"Hispanic/Latin/Mexican","2020-09","12"
201416668,"09/04/2020 12:00:00 AM",2020-08-18,"00:10",14,"Pacific",1452,1,310,"BURGLARY",37,"M","W",707,"GARAGE/CARPORT","IC","Invest Cont",310,"00    NORTHSTAR                    ST",33.9717,-118.4607,2020,"White","2020-08","00"
200914059,"08/27/2020 12:00:00 AM",2020-08-27,"17:27",9,"Van Nuys",909,2,666,"BUNCO, ATTEMPT",39,"M","O",602,"BANK","IC","Invest Cont",666,"7200    WOODMAN                      AV",34.2012,-118.4312,2020,"Other","2020-08","17"
201716550,"12/22/2020 12:00:00 AM",2020-12-22,"20:45",17,"Devonshire",1716,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",36,"M","H",101,"STREET","AO","Adult Other",956,"11800    WISH                         AV",34.2851,-118.5048,2020,"Hispanic/Latin/Mexican","2020-12","20"
201805263,"01/23/2020 12:00:00 AM",2020-01-23,"15:00",18,"Southeast",1822,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",53,"F","B",518,"TRANSITIONAL HOUSING/HALFWAY HOUSE","IC","Invest Cont",440,"100 W  102ND                        ST",33.9438,-118.2739,2020,"Black","2020-01","15"
201218824,"08/19/2020 12:00:00 AM",2020-08-18,"18:00",12,"77th Street",1249,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"70TH                         ST",33.9761,-118.2849,2020,"Unknown","2020-08","18"
201000562,"02/19/2020 12:00:00 AM",2020-02-18,"12:00",10,"West Valley",1088,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",23,"M","O",108,"PARKING LOT","AO","Adult Other",930,"16600    VENTURA                      BL",34.1579,-118.4945,2020,"Other","2020-02","12"
222007966,"04/02/2022 12:00:00 AM",2020-04-02,"00:10",20,"Olympic",2036,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"700 S  CATALINA                     ST",34.0598,-118.2954,2020,"Unknown","2020-04","00"
200613631,"08/07/2020 12:00:00 AM",2020-06-07,"02:00",6,"Hollywood",638,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",0,"X","X",301,"GAS STATION","IC","Invest Cont",745,"6200    FRANKLIN                     AV",34.1052,-118.3243,2020,"Unknown","2020-06","02"
201906839,"02/27/2020 12:00:00 AM",2020-02-25,"15:00",19,"Mission",1918,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"13700    HUBBARD                      ST",34.3066,-118.4313,2020,"Unknown","2020-02","15"
202013927,"08/27/2020 12:00:00 AM",2020-08-27,"06:30",20,"Olympic",2023,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"300 S  SERRANO                      AV",34.0672,-118.3066,2020,"Unknown","2020-08","06"
